app_id,title,vendor,status,functional_category,deployment_type,short_description,capabilities,data_sources,labels,notes,contract_annual_spend,fiscal_ytd_expense_total,prev_fiscal_year_expense_total,engaged_users,provisioned_users,users_with_sso_access,users_logging_in_via_sso,cost_center_primary,product_owner_name,it_contact,security_contact,legal_contact,procurement_contact,vendor_contact,general_contact,last_updated
a0c67671-2e03-4eee-8aaa-ab33b12ffdc3,1Password,AgileBits,-,Security,Unknown,Password management software that also enables secure access sharing between team members without revealing confidential passwords.,"Identity & Access Management, Credential Management",Expense Mgmt,-,Test update by Executive at 2026-01-21T16:36:42.255860,0.0,0.0,0.0,0,0,0,0,-,-,-,-,-,-,-,,2026-03-04T20:53:22.566524+00:00
f86d9347-dfe7-424a-954f-4d1abf690ffc,3D Systems,3D Systems,-,Design,Unknown,"3D solutions provider offering 3D printers, print materials, software, and industrial and healthcare solutions.",3D Modeling,Expense Mgmt,-,-,0.0,-45.36,10.67,0,0,0,0,-,-,-,-,-,-,-,,2026-01-21T00:11:41.139656+00:00
3b5d23d7-6f87-4025-a252-30adae830182,6WINDGate,6Wind,approved,Engineering,Unknown,A networking software that provides foundation for next-generation networking applications.,Product Management,"Contract uploads, ERP","Engineering, Business Funded","We have only Service provider team  ~10 folks will be accessing 6WINDGate. if you think that it would be good for this limited number of people acccess this App, then we can put behind SSO.",205409.97,280987.91,546961.85,0,0,0,0,355-bangalore r&d,-,-,-,-,"Pradeepa Narayanaswamy, Prashanth Kumar s",-,,2026-01-21T00:11:41.085380+00:00
fcb4e627-7f1b-4152-9ea3-3c77f1572b30,6sense,6sense,approved,IT,Unknown,Account engagement platform with tools designed to grow pipeline and revenue. Includes machine learning tools for designing targeted marketing campaigns.,"Sales Engagement, Marketing Analytics","SSO Logins, Contract uploads, ERP","Business Funded, BAPC Approved",-,202000.01,272966.78,319003.99,0,0,79,35,510-corporate marketing,Betsy Thomas,-,-,-,"Pradeepa Narayanaswamy, Prashanth Kumar s",-,,2026-01-21T00:11:41.038132+00:00
d714dd4b-00c9-403f-b2a9-dcc95f456304,A Cloud Guru,Pluralsight,in_review,IT,Cloud,"Cloud learning platform for IT professionals, providing skills assessment, hands-on labs, and cloud sandboxes for AWS, GCP, and Azure.","Learning Apps, DevOps, IT management","Expense Mgmt, ERP",Expense Only,-,0.0,5985.0,0.0,0,0,0,0,-,-,-,-,-,-,-,,2026-01-21T00:11:41.140264+00:00
40c20204-0227-4d81-9236-4fe2a55d2fb6,ARInsights,ARInsights,approved,-,Unknown,"Analyst relations platform that helps companies better target their analyst communications, and understand what analysts are saying about them.",Public Relations,"Contract uploads, ERP",Business Funded,-,0.0,5750.0,15000.0,0,0,0,0,514-corporate communications,-,-,-,-,-,-,,2026-01-21T00:11:41.085961+00:00
a8195b39-bd05-4111-9841-928efa395686,Accredible,Accredible,retired,-,Unknown,"A digital suite that has digital certificates,digital badges,digital wallet and labeling.",Training,Contract uploads,Business Funded,Accredible stands retired from Jan 2024,8500.0,0.0,0.0,0,0,0,0,221-training revenue,-,-,-,-,-,-,,2026-01-21T00:11:41.086429+00:00
c7e5971a-e27a-4871-9814-e19df7687120,Achievers,Achievers,approved,HR,Unknown,"Employee engagement platform that offers tools for recognition, feedback, and celebration of milestones, aiming to foster a positive workplace culture and improve performance and retention.",Employee Engagement,"SSO Logins, Contract uploads, ERP",Business Funded,-,0.0,252362.25,67399.5,0,0,2433,1974,640-human resources,Anusha Radhakrishnan,-,-,-,"Pradeepa Narayanaswamy, Prashanth Kumar s",-,"Alyssa Much, Sreedhara Venugopala",2026-01-21T00:11:41.011177+00:00
7c14c35e-16a7-4dbf-aef4-d80925313cbe,Acquia,Acquia,approved,IT,Unknown,"A Cloud platform for building, delivering and optimizing digital experiences, offering a suite of tools including digital asset management, content management, and customer data management, optimized for Drupal CMS.",-,"Contract uploads, ERP",IT Funded,Test update by IT Manager at 2026-01-21T16:36:42.379057,71543.0,75120.15,104818.01,0,0,0,0,651-it applications-crm,-,Arun Muthuraman,-,-,Prashanth Kumar s,-,,2026-01-21T16:36:42.412739+00:00
7eebfc2e-a5ab-4bc8-b582-ba141d46c93b,Adaptive Planning,Workday,approved,IT,Cloud,"Enterprise planning platform by Workday, with tools to aid forecasting, modeling, and budgeting.","Planning, Data & Analytics","SSO Logins, Contract uploads",Business Funded,-,77756.0,0.0,0.0,0,0,83,15,620-finance,Sasank Ambadasugari,-,-,-,"Pradeepa Narayanaswamy, Prashanth Kumar s",-,,2026-01-21T00:11:41.045774+00:00
